rep,delta_target,window,n_pos,share_A,auc
1,0.1,12,495,0.43636363636363634,0.8165433948132198
2,0.1,1,316,0.6075949367088608,0.8204647318258046
2,0.1,2,325,0.5907692307692308,0.8174562937062937
2,0.1,3,335,0.573134328358209,0.8107715466435661
2,0.1,5,354,0.5423728813559322,0.8075380196424649
2,0.1,8,395,0.4860759493670886,0.8015608921509069
2,0.1,12,448,0.42857142857142855,0.7937136393018746
3,0.1,1,336,0.5744047619047619,0.8282861335871807
3,0.1,2,350,0.5542857142857143,0.8262605243343144
3,0.1,3,366,0.5300546448087432,0.8120097204961569
3,0.1,5,389,0.4987146529562982,0.8115711359254498
3,0.1,8,429,0.4522144522144522,0.8112259586363173
3,0.1,12,478,0.40585774058577406,0.7985939799359675
4,0.1,1,327,0.5626911314984709,0.8071974143803354
4,0.1,2,337,0.5459940652818991,0.81366398191324
4,0.1,3,348,0.5287356321839081,0.8054079111712693
4,0.1,5,365,0.5041095890410959,0.8159544084201619
4,0.1,8,404,0.45792079207920794,0.802420945488548
4,0.1,12,465,0.4,0.8145215817138868
5,0.1,1,316,0.5854430379746836,0.8181237653602611
5,0.1,2,330,0.5606060606060606,0.8174785347542822
5,0.1,3,341,0.5454545454545454,0.8162804168252334
5,0.1,5,362,0.5138121546961326,0.8186540637688878
5,0.1,8,403,0.46153846153846156,0.8188671004828584
5,0.1,12,478,0.39330543933054396,0.8065360817255837
6,0.1,1,319,0.6081504702194357,0.8148827337554504
6,0.1,2,328,0.5914634146341463,0.817616718130197
6,0.1,3,342,0.5672514619883041,0.8120336641125487
6,0.1,5,361,0.5373961218836565,0.8087508473038393
6,0.1,8,398,0.4899497487437186,0.8147715034219652
6,0.1,12,451,0.43458980044345896,0.8164513010139715
7,0.1,1,321,0.6728971962616822,0.8433342755684329
7,0.1,2,334,0.6467065868263473,0.8282393842842133
7,0.1,3,342,0.6345029239766082,0.8267526413487976
7,0.1,5,362,0.5994475138121547,0.8223710310856687
7,0.1,8,397,0.5491183879093199,0.8134612535190398
7,0.1,12,449,0.48552338530066813,0.8039349683849197
8,0.1,1,333,0.6036036036036037,0.8004958380433664
8,0.1,2,344,0.5843023255813954,0.7971324681385349
8,0.1,3,361,0.556786703601108,0.7967751749315484
8,0.1,5,389,0.5167095115681234,0.7877520485218509
8,0.1,8,441,0.4603174603174603,0.7778516216105681
8,0.1,12,501,0.40718562874251496,0.7822918213160457
9,0.1,1,317,0.6214511041009464,0.8177147193619426
9,0.1,2,325,0.6092307692307692,0.8196241258741258
9,0.1,3,339,0.584070796460177,0.8120811785912135
9,0.1,5,374,0.5294117647058824,0.809990642359266
9,0.1,8,412,0.48058252427184467,0.8151360421910583
9,0.1,12,473,0.4186046511627907,0.8083139211946108
10,0.1,1,325,0.6215384615384615,0.7879967948717949
10,0.1,2,332,0.608433734939759,0.7925979452250809
10,0.1,3,340,0.5941176470588235,0.7858747790961877
10,0.1,5,368,0.5516304347826086,0.7962442473784858
10,0.1,8,414,0.49033816425120774,0.7839949278944315
10,0.1,12,471,0.4309978768577495,0.7974397021121269
11,0.1,1,307,0.6514657980456026,0.849174962915386
11,0.1,2,317,0.6309148264984227,0.8443634307481698
11,0.1,3,330,0.6060606060606061,0.841892105679481
11,0.1,5,354,0.5649717514124294,0.8329142832344699
11,0.1,8,397,0.5062972292191436,0.8382044253469649
11,0.1,12,449,0.44766146993318484,0.8292023858070473
12,0.1,1,317,0.6056782334384858,0.820759181001131
12,0.1,2,333,0.5765765765765766,0.8202979595565146
12,0.1,3,346,0.5549132947976878,0.819937082403806
12,0.1,5,366,0.5245901639344263,0.8129859918257065
12,0.1,8,407,0.47174447174447176,0.8248568765810144
12,0.1,12,460,0.41739130434782606,0.8206989069956676
13,0.1,1,308,0.6136363636363636,0.827116870916777
13,0.1,2,323,0.5851393188854489,0.8199223223621969
13,0.1,3,335,0.5671641791044776,0.8223965803712172
13,0.1,5,359,0.5292479108635098,0.817414698620111
13,0.1,8,406,0.46798029556650245,0.8184240333937274
13,0.1,12,457,0.41575492341356673,0.8200417744181421
14,0.1,1,320,0.60625,0.8336915446386396
14,0.1,2,333,0.5825825825825826,0.8354200207812374
14,0.1,3,348,0.5574712643678161,0.8384119333344338
14,0.1,5,378,0.5132275132275133,0.8340592726216814
14,0.1,8,413,0.46973365617433416,0.8326809520619394
14,0.1,12,481,0.40540540540540543,0.832386303245199
0,0.20399999999999996,1,314,0.6114649681528662,0.7777376084197641
0,0.20399999999999996,2,328,0.5853658536585366,0.7748788583191664
0,0.20399999999999996,3,348,0.5517241379310345,0.7713460766026752
0,0.20399999999999996,5,378,0.5079365079365079,0.7663156461116636
0,0.20399999999999996,8,405,0.47901234567901235,0.7670372800622144
0,0.20399999999999996,12,470,0.4127659574468085,0.7485348678730976
1,0.20399999999999996,1,344,0.6191860465116279,0.7920754675051945
1,0.20399999999999996,2,355,0.6,0.7735181502076822
1,0.20399999999999996,3,367,0.5803814713896458,0.7820558385657308
1,0.20399999999999996,5,406,0.5270935960591133,0.7651439631524183
1,0.20399999999999996,8,450,0.4777777777777778,0.7662360901414751
1,0.20399999999999996,12,512,0.421875,0.7455073051948052
2,0.20399999999999996,1,338,0.5680473372781065,0.7658070481576179
2,0.20399999999999996,2,349,0.5501432664756447,0.7606352029333948
