rep,delta_target,w_B,rho,c_A,c_B,n_A,n_B,n_pos_mix,n_s_mix,auc_mix,auc_A,auc_B,bayes_A,bayes_B,delta_realized,gain,cx_min,cx_max,cx_ratio,comp_q1,comp_q5,comp_gap,sweep
13,0.0,0.631578947368421,0.4,0.99,0.458,197,275,472,317,0.7987428300340709,0.8901400471356056,0.830163989571945,0.9079999999998561,0.9079999999996039,0.059976057563660534,0.0913972171015347,0.48484848484848486,0.8,1.6500000000000001,0.0,0.5864978902953587,0.5864978902953587,delta_x_rho
14,0.0,0.631578947368421,0.4,0.99,0.458,197,268,465,336,0.8439998691356408,0.885650833937636,0.8500547057244896,0.9079999999994776,0.908000000000402,0.035596128213146394,0.04165096480199515,0.6636363636363637,0.7692307692307693,1.1591148577449948,0.3333333333333333,0.48507462686567165,0.15174129353233834,delta_x_rho
15,0.0,0.631578947368421,0.4,0.99,0.458,200,261,461,301,0.8410931174089069,0.8716629414394278,0.8133064288933964,0.9080000000000417,0.9080000000008968,0.05835651254603136,0.030569824030520887,0.42857142857142855,0.7142857142857143,1.6666666666666667,0.5714285714285714,0.5097276264591439,-0.06170094496942746,delta_x_rho
16,0.0,0.631578947368421,0.4,0.99,0.458,191,280,471,296,0.8374899836498607,0.9049735888816884,0.8286591827273329,0.9079999999993597,0.908000000000642,0.07631440615435559,0.06748360523182773,0.375,0.7116788321167883,1.897810218978102,0.25,0.5328467153284672,0.28284671532846717,delta_x_rho
17,0.0,0.631578947368421,0.4,0.99,0.458,216,256,472,340,0.8550276016733513,0.8711457968549369,0.8595827602017423,0.9079999999996365,0.9080000000005235,0.01156303665319458,0.016118195181585526,0.4,0.7894736842105263,1.9736842105263157,0.1,0.4857142857142857,0.3857142857142857,delta_x_rho
18,0.0,0.631578947368421,0.4,0.99,0.458,209,252,461,339,0.8188456708264906,0.8753489730528379,0.8602992989720679,0.9080000000007684,0.9079999999996186,0.01504967408076996,0.05650330222634725,0.6363636363636364,0.784,1.232,0.45454545454545453,0.556,0.10145454545454552,delta_x_rho
19,0.0,0.631578947368421,0.4,0.99,0.458,191,281,472,322,0.7970737913486006,0.8505522324737871,0.8628721304115305,0.9080000000004745,0.9079999999998334,-0.012319897937743463,0.053478441125186515,0.581081081081081,0.7092511013215859,1.2205716627394734,0.3333333333333333,0.47577092511013214,0.14243759177679882,delta_x_rho
0,0.0,0.631578947368421,0.8,0.99,0.458,190,293,483,332,0.8899046601863567,0.901646639964397,0.8405567087769344,0.9079999999999299,0.9080000000001497,0.06108993118746253,0.011741979778040257,0.5833333333333334,1.0,1.7142857142857142,0.0,0.4642857142857143,0.4642857142857143,delta_x_rho
1,0.0,0.631578947368421,0.8,0.99,0.458,197,226,423,299,0.8621704803960926,0.897955946337926,0.7984114023606825,0.9080000000013018,0.9080000000003288,0.09954454397724344,0.035785465941833405,0.4,0.7450980392156863,1.8627450980392157,0.2,0.5803921568627451,0.38039215686274513,delta_x_rho
2,0.0,0.631578947368421,0.8,0.99,0.458,209,263,472,326,0.8697804804416268,0.8747390755328013,0.7832454762645996,0.9079999999991359,0.9080000000005476,0.09149359926820166,0.004958595091174467,0.5813953488372093,0.75,1.29,0.25,0.4858156028368794,0.2358156028368794,delta_x_rho
3,0.0,0.631578947368421,0.8,0.99,0.458,189,229,418,276,0.8737365837936732,0.8927206311547948,0.8240400132902981,0.907999999999561,0.9079999999995756,0.06868061786449675,0.01898404736112158,0.2,0.7175572519083969,3.5877862595419843,0.3333333333333333,0.5267175572519084,0.19338422391857507,delta_x_rho
4,0.0,0.631578947368421,0.8,0.99,0.458,198,253,451,309,0.8677471792570165,0.8905152462544156,0.8114403712229801,0.9080000000001648,0.9080000000003238,0.07907487503143551,0.022768066997399083,0.25,0.7153024911032029,2.8612099644128115,0.0,0.5088967971530249,0.5088967971530249,delta_x_rho
5,0.0,0.631578947368421,0.8,0.99,0.458,203,252,455,324,0.8871247823820982,0.8945054266574347,0.815424430641822,0.90799999999946,0.9079999999990777,0.07908099601561269,0.007380644275336468,0.5,0.7845659163987139,1.5691318327974277,0.14285714285714285,0.5112540192926045,0.36839687643546165,delta_x_rho
6,0.0,0.631578947368421,0.8,0.99,0.458,200,278,478,345,0.8539836523202642,0.863102369244524,0.8290258946154794,0.9079999999995513,0.9079999999997868,0.03407647462904462,0.009118716924259807,0.6481481481481481,0.7916666666666666,1.2214285714285713,,0.4963768115942029,,delta_x_rho
7,0.0,0.631578947368421,0.8,0.99,0.458,185,281,466,295,0.8769170134329757,0.8781575536460083,0.8313157356116178,0.9080000000005176,0.9079999999997783,0.04684181803439058,0.0012405402130326593,0.43636363636363634,0.6891891891891891,1.5793918918918919,0.6,0.47297297297297297,-0.127027027027027,delta_x_rho
8,0.0,0.631578947368421,0.8,0.99,0.458,180,269,449,302,0.8633067895121285,0.8892827253482991,0.8064908297781863,0.9080000000003132,0.9079999999999728,0.0827918955701128,0.02597593583617064,0.5,0.6970802919708029,1.3941605839416058,0.0,0.45985401459854014,0.45985401459854014,delta_x_rho
9,0.0,0.631578947368421,0.8,0.99,0.458,203,235,438,299,0.864256329077781,0.8483358397537387,0.7911917599087869,0.9079999999997266,0.907999999999689,0.057144079844951845,-0.01592048932404233,0.6346153846153846,0.8205128205128205,1.292929292929293,0.8571428571428571,0.5055350553505535,-0.35160780179230355,delta_x_rho
10,0.0,0.631578947368421,0.8,0.99,0.458,185,254,439,303,0.8670743636575072,0.8692813595122655,0.8618422239134904,0.9079999999992925,0.9079999999997833,0.007439135598775071,0.0022069958547582536,0.5227272727272727,0.7290076335877863,1.3946232990375043,0.0,0.46564885496183206,0.46564885496183206,delta_x_rho
11,0.0,0.631578947368421,0.8,0.99,0.458,194,275,469,315,0.842918465165462,0.8807492726512265,0.7894828021192498,0.9079999999992758,0.9080000000004071,0.09126647053197667,0.037830807485764506,0.5094339622641509,0.7564575645756457,1.4848981823151564,0.125,0.5092250922509225,0.3842250922509225,delta_x_rho
12,0.0,0.631578947368421,0.8,0.99,0.458,194,215,409,303,0.8746256564575166,0.8656346663847664,0.8198773365708665,0.9079999999992828,0.9080000000008832,0.045757329813899905,-0.008990990072750171,0.65625,0.8,1.2190476190476192,0.6,0.5166051660516605,-0.08339483394833946,delta_x_rho
13,0.0,0.631578947368421,0.8,0.99,0.458,197,236,433,301,0.8371651615936717,0.8901400471356056,0.7868572836692104,0.9079999999998561,0.9079999999995512,0.1032827634663952,0.05297488554193386,0.4782608695652174,0.751004016064257,1.570281124497992,0.0,0.5783132530120482,0.5783132530120482,delta_x_rho
14,0.0,0.631578947368421,0.8,0.99,0.458,197,242,439,317,0.8679225922961687,0.885650833937636,0.816301135187033,0.9079999999994776,0.9080000000005413,0.06934969875060304,0.017728241641467246,0.6136363636363636,0.8333333333333334,1.3580246913580247,0.125,0.5037593984962406,0.37875939849624063,delta_x_rho
15,0.0,0.631578947368421,0.8,0.99,0.458,200,237,437,288,0.8689336384439359,0.8716629414394278,0.7779344073647871,0.9080000000000417,0.9079999999992077,0.09372853407464066,0.0027293029954919,0.47058823529411764,0.7052238805970149,1.4986007462686568,0.6666666666666666,0.5373134328358209,-0.12935323383084574,delta_x_rho
16,0.0,0.631578947368421,0.8,0.99,0.458,191,267,458,303,0.8749224940477636,0.9049735888816884,0.7934776230173113,0.9079999999993597,0.9079999999993464,0.11149596586437716,0.030051094833924874,0.42857142857142855,0.7142857142857143,1.6666666666666667,0.14285714285714285,0.5068027210884354,0.36394557823129253,delta_x_rho
17,0.0,0.631578947368421,0.8,0.99,0.458,216,221,437,320,0.8807917620137301,0.8711457968549369,0.8268168972670991,0.9079999999996365,0.9079999999993595,0.04432889958783781,-0.009645965158793235,0.6448598130841121,0.7697841726618705,1.1937232822437702,0.3333333333333333,0.5539568345323741,0.22062350119904078,delta_x_rho
18,0.0,0.631578947368421,0.8,0.99,0.458,209,237,446,321,0.8527938503534965,0.8753489730528379,0.7979209819716148,0.9080000000007684,0.9080000000000131,0.07742799108122311,0.022555122699341346,0.5909090909090909,0.7509157509157509,1.2707805015497322,0.2857142857142857,0.5384615384615384,0.25274725274725274,delta_x_rho
19,0.0,0.631578947368421,0.8,0.99,0.458,191,243,434,306,0.8501291841040282,0.8505522324737871,0.822171203919406,0.9080000000004745,0.907999999999963,0.02838102855438107,0.0004230483697589271,0.5,0.7392996108949417,1.4785992217898833,0.6666666666666666,0.48638132295719844,-0.1802853437094682,delta_x_rho
0,0.05,0.631578947368421,0.0,0.99,0.458,190,325,515,339,0.7796278148773021,0.901646639964397,0.8203933566433568,0.9079999999999299,0.8579999999989696,0.0812532833210402,0.12201882508709483,0.4166666666666667,0.731404958677686,1.7553719008264461,0.0,0.5371900826446281,0.5371900826446281,delta_x_rho
1,0.05,0.631578947368421,0.0,0.99,0.458,197,275,472,317,0.7811359813688705,0.897955946337926,0.7990564292321924,0.9080000000013018,0.8579999999979262,0.09889951710573353,0.11681996496905545,0.55,0.7364016736401674,1.3389121338912133,0.3157894736842105,0.5857740585774058,0.2699845848931953,delta_x_rho
2,0.05,0.631578947368421,0.0,0.99,0.458,209,269,478,325,0.7819472833248967,0.8747390755328013,0.8054602943798954,0.9079999999991359,0.8580000000011366,0.06927878115290587,0.09279179220790457,0.4838709677419355,0.7391304347826086,1.5275362318840577,0.13043478260869565,0.5523012552301255,0.42186647262142984,delta_x_rho
3,0.05,0.631578947368421,0.0,0.99,0.458,189,291,480,313,0.7780350451371145,0.8927206311547948,0.7931434811989381,0.907999999999561,0.8580000000003826,0.09957714995585676,0.11468558601768031,0.4444444444444444,0.7606837606837606,1.7115384615384615,0.0,0.5512820512820513,0.5512820512820513,delta_x_rho
4,0.05,0.631578947368421,0.0,0.99,0.458,198,292,490,337,0.7619519302328019,0.8905152462544156,0.8221988057604496,0.9080000000001648,0.8579999999997227,0.06831644049396601,0.12856331602161364,0.5238095238095238,0.7741935483870968,1.478005865102639,0.23809523809523808,0.543778801843318,0.30568356374807987,delta_x_rho
5,0.05,0.631578947368421,0.0,0.99,0.458,203,283,486,335,0.7816240695390988,0.8945054266574347,0.7378301852744996,0.90799999999946,0.8580000000005343,0.1566752413829351,0.11288135711833591,0.45714285714285713,0.8064516129032258,1.7641129032258065,0.10714285714285714,0.6129032258064516,0.5057603686635945,delta_x_rho
6,0.05,0.631578947368421,0.0,0.99,0.458,200,299,499,351,0.7738707549257443,0.863102369244524,0.810350059912837,0.9079999999995513,0.8580000000008596,0.05275230933168695,0.08923161431877968,0.5957446808510638,0.7542372881355932,1.2660411622276029,0.1875,0.5211864406779662,0.33368644067796616,delta_x_rho
7,0.05,0.631578947368421,0.0,0.99,0.458,185,339,524,336,0.7583109539790026,0.8781575536460083,0.76480620678213,0.9080000000005176,0.858000000000416,0.11335134686387838,0.11984659966700573,0.47540983606557374,0.7457627118644068,1.5686732904734075,0.15,0.5550847457627118,0.4050847457627118,delta_x_rho
8,0.05,0.631578947368421,0.0,0.99,0.458,180,312,492,321,0.7931636257236607,0.8892827253482991,0.8361975867269985,0.9080000000003132,0.8580000000013632,0.0530851386213006,0.09611909962463838,0.4444444444444444,0.6904761904761905,1.5535714285714286,0.05555555555555555,0.4642857142857143,0.4087301587301587,delta_x_rho
9,0.05,0.631578947368421,0.0,0.99,0.458,203,301,504,328,0.7971171137880915,0.8483358397537387,0.8106016773053617,0.9079999999997266,0.8580000000013509,0.03773416244837702,0.05121872596564725,0.5357142857142857,0.6857142857142857,1.28,0.4,0.4774436090225564,0.07744360902255637,delta_x_rho
10,0.05,0.631578947368421,0.0,0.99,0.458,185,303,488,321,0.7804832659034898,0.8692813595122655,0.829975781083263,0.9079999999992925,0.857999999998426,0.03930557842900251,0.08879809360877566,0.4074074074074074,0.6909871244635193,1.6960593055013655,0.10344827586206896,0.44635193133047213,0.3429036554684032,delta_x_rho
11,0.05,0.631578947368421,0.0,0.99,0.458,194,331,525,344,0.7616845985256027,0.8807492726512265,0.8089805275102354,0.9079999999992758,0.8579999999997135,0.07176874514099107,0.11906467412562383,0.5,0.7542372881355932,1.5084745762711864,0.3,0.5296610169491526,0.22966101694915259,delta_x_rho
12,0.05,0.631578947368421,0.0,0.99,0.458,194,280,474,326,0.7865920370740556,0.8656346663847664,0.8185773892310748,0.9079999999992828,0.8580000000007014,0.04705727715369157,0.07904262931071082,0.5,0.7773109243697479,1.5546218487394958,0.26666666666666666,0.5546218487394958,0.28795518207282916,delta_x_rho
13,0.05,0.631578947368421,0.0,0.99,0.458,197,288,485,322,0.7182081291194863,0.8901400471356056,0.7787779199627732,0.9079999999998561,0.8579999999998991,0.11136212717283234,0.1719319180161193,0.375,0.8090452261306532,2.1574539363484084,0.0,0.6633165829145728,0.6633165829145728,delta_x_rho
14,0.05,0.631578947368421,0.0,0.99,0.458,197,294,491,350,0.7709354192526106,0.885650833937636,0.8239784014399041,0.9079999999994776,0.8579999999981831,0.06167243249773191,0.11471541468502544,0.5625,0.7629310344827587,1.35632183908046,0.1875,0.5129310344827587,0.3254310344827587,delta_x_rho
15,0.05,0.631578947368421,0.0,0.99,0.458,200,287,487,310,0.7789406623492866,0.8716629414394278,0.8055554655214325,0.9080000000000417,0.8580000000006633,0.06610747591799526,0.09272227909014119,0.4444444444444444,0.75,1.6875,0.2222222222222222,0.5560344827586207,0.33381226053639845,delta_x_rho
16,0.05,0.631578947368421,0.0,0.99,0.458,191,317,508,334,0.7762171252699167,0.9049735888816884,0.818201297541813,0.9079999999993597,0.8580000000008466,0.08677229133987541,0.12875646361177173,0.5,0.7427385892116183,1.4854771784232366,0.19230769230769232,0.5311203319502075,0.3388126396425152,delta_x_rho
17,0.05,0.631578947368421,0.0,0.99,0.458,216,282,498,348,0.7833872881935168,0.8711457968549369,0.8074575044017704,0.9079999999996365,0.8580000000003183,0.06368829245316643,0.0877585086614201,0.4090909090909091,0.7551020408163265,1.8458049886621313,0.0,0.5428571428571428,0.5428571428571428,delta_x_rho
18,0.05,0.631578947368421,0.0,0.99,0.458,209,280,489,352,0.7656912023448097,0.8753489730528379,0.8176783230677528,0.9080000000007684,0.8580000000002073,0.05767064998508509,0.10965777070802818,0.5714285714285714,0.8114035087719298,1.4199561403508771,0.17857142857142858,0.5745614035087719,0.39598997493734334,delta_x_rho
19,0.05,0.631578947368421,0.0,0.99,0.458,191,309,500,329,0.7206732059886423,0.8505522324737871,0.8252518432002334,0.9080000000004745,0.8579999999986774,0.025300389273553714,0.12987902648514482,0.45,0.7512953367875648,1.669545192861255,0.1,0.5595854922279793,0.4595854922279793,delta_x_rho
0,0.05,0.631578947368421,0.4,0.99,0.458,190,311,501,334,0.8261586331469293,0.901646639964397,0.8177320753917959,0.9079999999999299,0.8580000000010259,0.08391456457260105,0.0754880068174677,0.3333333333333333,0.6911196911196911,2.0733590733590734,0.0,0.47876447876447875,0.47876447876447875,delta_x_rho
