rep,delta_target,w_B,rho,c_A,c_B,n_A,n_B,n_pos_mix,n_s_mix,auc_mix,auc_A,auc_B,bayes_A,bayes_B,delta_realized,gain,cx_min,cx_max,cx_ratio,comp_q1,comp_q5,comp_gap
21,0.0,0.631578947368421,0.8,0.99,0.99,201,239,440,435,0.9022328947967406,0.9070145693713899,0.8530939119244958,0.9079999999989321,0.9080000000008958,0.053920657446894116,0.004781674574649286,0.9722222222222222,1.0,1.0285714285714287,0.0,0.5214521452145214,0.5214521452145214
22,0.0,0.631578947368421,0.8,0.99,0.99,200,268,468,457,0.8722365468175524,0.861665176575771,0.8308836178719128,0.9080000000008167,0.9079999999998927,0.030781558703858236,-0.010571370241781342,0.9411764705882353,1.0,1.0625,0.6,0.4463667820069204,-0.15363321799307955
23,0.0,0.631578947368421,0.8,0.99,0.99,224,228,452,446,0.8713715699605449,0.8846043670518365,0.8094954452677642,0.9080000000010597,0.9080000000005007,0.07510892178407236,0.01323279709129166,0.9798657718120806,1.0,1.0205479452054793,0.3333333333333333,0.5536912751677853,0.22035794183445195
24,0.0,0.631578947368421,0.8,0.99,0.99,202,242,444,439,0.8683816782160987,0.8855494274259641,0.8227978689357855,0.9080000000011439,0.9079999999995954,0.06275155849017855,0.017167749209865413,0.97,1.0,1.0309278350515465,0.125,0.48226950354609927,0.35726950354609927
25,0.0,0.631578947368421,0.8,0.99,0.99,223,220,443,439,0.884235098070736,0.8855064185918392,0.8440747119366877,0.9079999999989918,0.907999999999655,0.0414317066551515,0.0012713205211032363,0.989010989010989,1.0,1.011111111111111,0.75,0.5506756756756757,-0.19932432432432434
26,0.0,0.631578947368421,0.8,0.99,0.99,206,244,450,450,0.8725225074092713,0.846753382391979,0.8608033758680751,0.9080000000002899,0.9079999999998162,-0.014049993476096145,-0.025769125017292338,1.0,1.0,1.0,0.5,0.45955882352941174,-0.04044117647058826
27,0.0,0.631578947368421,0.8,0.99,0.99,200,248,448,443,0.8861135800474035,0.8726665176575771,0.8406346247365861,0.9080000000002156,0.907999999999723,0.032031892920990956,-0.013447062389826403,0.75,1.0,1.3333333333333333,0.25,0.46779661016949153,0.21779661016949153
28,0.0,0.631578947368421,0.8,0.99,0.99,203,255,458,449,0.874268244515006,0.8554449594489111,0.8467407127837386,0.9080000000004,0.9079999999994647,0.008704246665172444,-0.018823285066094875,0.9753521126760564,1.0,1.0252707581227436,1.0,0.4507042253521127,-0.5492957746478873
29,0.0,0.631578947368421,0.8,0.99,0.99,188,261,449,446,0.8939752098336118,0.8970298856229246,0.8541825135226503,0.9079999999987208,0.9080000000007246,0.04284737210027434,0.003054675789312844,0.9906542056074766,1.0,1.009433962264151,0.0,0.468013468013468,0.468013468013468
0,0.0,0.631578947368421,0.8,0.99,0.458,190,293,483,332,0.8899046601863567,0.901646639964397,0.8405567087769344,0.9079999999999299,0.9080000000001497,0.06108993118746253,0.011741979778040257,0.5833333333333334,1.0,1.7142857142857142,0.0,0.4642857142857143,0.4642857142857143
1,0.0,0.631578947368421,0.8,0.99,0.458,197,226,423,299,0.8621704803960926,0.897955946337926,0.7984114023606825,0.9080000000013018,0.9080000000003288,0.09954454397724344,0.035785465941833405,0.4,0.7450980392156863,1.8627450980392157,0.2,0.5803921568627451,0.38039215686274513
2,0.0,0.631578947368421,0.8,0.99,0.458,209,263,472,326,0.8697804804416268,0.8747390755328013,0.7832454762645996,0.9079999999991359,0.9080000000005476,0.09149359926820166,0.004958595091174467,0.5813953488372093,0.75,1.29,0.25,0.4858156028368794,0.2358156028368794
3,0.0,0.631578947368421,0.8,0.99,0.458,189,229,418,276,0.8737365837936732,0.8927206311547948,0.8240400132902981,0.907999999999561,0.9079999999995756,0.06868061786449675,0.01898404736112158,0.2,0.7175572519083969,3.5877862595419843,0.3333333333333333,0.5267175572519084,0.19338422391857507
4,0.0,0.631578947368421,0.8,0.99,0.458,198,253,451,309,0.8677471792570165,0.8905152462544156,0.8114403712229801,0.9080000000001648,0.9080000000003238,0.07907487503143551,0.022768066997399083,0.25,0.7153024911032029,2.8612099644128115,0.0,0.5088967971530249,0.5088967971530249
5,0.0,0.631578947368421,0.8,0.99,0.458,203,252,455,324,0.8871247823820982,0.8945054266574347,0.815424430641822,0.90799999999946,0.9079999999990777,0.07908099601561269,0.007380644275336468,0.5,0.7845659163987139,1.5691318327974277,0.14285714285714285,0.5112540192926045,0.36839687643546165
6,0.0,0.631578947368421,0.8,0.99,0.458,200,278,478,345,0.8539836523202642,0.863102369244524,0.8290258946154794,0.9079999999995513,0.9079999999997868,0.03407647462904462,0.009118716924259807,0.6481481481481481,0.7916666666666666,1.2214285714285713,,0.4963768115942029,
7,0.0,0.631578947368421,0.8,0.99,0.458,185,281,466,295,0.8769170134329757,0.8781575536460083,0.8313157356116178,0.9080000000005176,0.9079999999997783,0.04684181803439058,0.0012405402130326593,0.43636363636363634,0.6891891891891891,1.5793918918918919,0.6,0.47297297297297297,-0.127027027027027
8,0.0,0.631578947368421,0.8,0.99,0.458,180,269,449,302,0.8633067895121285,0.8892827253482991,0.8064908297781863,0.9080000000003132,0.9079999999999728,0.0827918955701128,0.02597593583617064,0.5,0.6970802919708029,1.3941605839416058,0.0,0.45985401459854014,0.45985401459854014
9,0.0,0.631578947368421,0.8,0.99,0.458,203,235,438,299,0.864256329077781,0.8483358397537387,0.7911917599087869,0.9079999999997266,0.907999999999689,0.057144079844951845,-0.01592048932404233,0.6346153846153846,0.8205128205128205,1.292929292929293,0.8571428571428571,0.5055350553505535,-0.35160780179230355
10,0.0,0.631578947368421,0.8,0.99,0.458,185,254,439,303,0.8670743636575072,0.8692813595122655,0.8618422239134904,0.9079999999992925,0.9079999999997833,0.007439135598775071,0.0022069958547582536,0.5227272727272727,0.7290076335877863,1.3946232990375043,0.0,0.46564885496183206,0.46564885496183206
11,0.0,0.631578947368421,0.8,0.99,0.458,194,275,469,315,0.842918465165462,0.8807492726512265,0.7894828021192498,0.9079999999992758,0.9080000000004071,0.09126647053197667,0.037830807485764506,0.5094339622641509,0.7564575645756457,1.4848981823151564,0.125,0.5092250922509225,0.3842250922509225
12,0.0,0.631578947368421,0.8,0.99,0.458,194,215,409,303,0.8746256564575166,0.8656346663847664,0.8198773365708665,0.9079999999992828,0.9080000000008832,0.045757329813899905,-0.008990990072750171,0.65625,0.8,1.2190476190476192,0.6,0.5166051660516605,-0.08339483394833946
13,0.0,0.631578947368421,0.8,0.99,0.458,197,236,433,301,0.8371651615936717,0.8901400471356056,0.7868572836692104,0.9079999999998561,0.9079999999995512,0.1032827634663952,0.05297488554193386,0.4782608695652174,0.751004016064257,1.570281124497992,0.0,0.5783132530120482,0.5783132530120482
14,0.0,0.631578947368421,0.8,0.99,0.458,197,242,439,317,0.8679225922961687,0.885650833937636,0.816301135187033,0.9079999999994776,0.9080000000005413,0.06934969875060304,0.017728241641467246,0.6136363636363636,0.8333333333333334,1.3580246913580247,0.125,0.5037593984962406,0.37875939849624063
15,0.0,0.631578947368421,0.8,0.99,0.458,200,237,437,288,0.8689336384439359,0.8716629414394278,0.7779344073647871,0.9080000000000417,0.9079999999992077,0.09372853407464066,0.0027293029954919,0.47058823529411764,0.7052238805970149,1.4986007462686568,0.6666666666666666,0.5373134328358209,-0.12935323383084574
